CodEstacao,Municipio,UF,TipoEstacao,Situacao,Latitude,Longitude,AltitudeM,DataInicioOperacao,DataFimOperacao
B847,ALEGRETE (MARONNA),RS,Automatica,Operante,-29.82138888,-55.88722221,120.0,2026-02-03T21:00:00.000-03:00,
A827,BAGE,RS,Automatica,Operante,-31.34777777,-54.01333333,226.19,2007-01-03T21:00:00.000-03:00,
B827,BAGE - CENTRO,RS,Automatica,Operante,-31.30555555,-54.01333333,226.2,2025-07-31T21:00:00.000-03:00,
B848,BARRA DO QUARAI,RS,Automatica,Pane,-30.11166666,-57.3361111,91.0,2026-01-26T21:00:00.000-03:00,
A840,BENTO GONCALVES,RS,Automatica,Operante,-29.16444444,-51.53416666,639.0,2006-11-30T21:00:00.000-03:00,
B856,BOM JESUS (INMET),RS,Automatica,Operante,-28.66944443,-50.44194444,1054.0,2026-03-02T21:00:00.000-03:00,
B857,BOM JESUS - SANTO INACIO,RS,Automatica,Operante,-28.51388888,-50.16777777,1132.0,2026-03-02T21:00:00.000-03:00,
A812,CACAPAVA DO SUL,RS,Automatica,Operante,-30.54527777,-53.46694443,420.82,2006-06-21T21:00:00.000-03:00,
B822,CACHOEIRA DO SUL,RS,Automatica,Operante,-30.01833332,-52.93888888,73.0,2025-09-16T21:00:00.000-03:00,
B808,CACHOEIRINHA,RS,Automatica,Operante,-29.95138888,-51.12416666,72.0,2025-02-17T21:00:00.000-03:00,
A838,CAMAQUA,RS,Automatica,Pane,-30.80805555,-51.83416666,92.3,2006-12-11T21:00:00.000-03:00,
A897,CAMBARA DO SUL,RS,Automatica,Pane,-29.04916666,-50.14972221,1017.0,2016-11-23T21:00:00.000-03:00,
A884,CAMPO BOM,RS,Automatica,Operante,-29.67416666,-51.06416666,23.35,2013-11-28T21:00:00.000-03:00,
A879,CANELA,RS,Automatica,Operante,-29.36888888,-50.82722221,830.93,2008-08-22T21:00:00.000-03:00,
A811,CANGUCU,RS,Automatica,Pane,-31.40333333,-52.70083333,446.81,2007-01-23T21:00:00.000-03:00,
B832,CAPAO DA CANOA,RS,Automatica,Operante,-29.68527777,-49.99305555,0.0,2025-10-12T21:00:00.000-03:00,
A887,CAPAO DO LEAO (PELOTAS),RS,Automatica,Pane,-31.8025,-52.40722222,13.0,2019-07-17T21:00:00.000-03:00,
B842,CARAZINHO,RS,Automatica,Operante,-28.32333332,-52.81444444,581.0,2025-11-30T21:00:00.000-03:00,
B858,CASCA,RS,Automatica,Operante,-28.56361111,-51.96916666,602.0,2026-02-23T21:00:00.000-03:00,
83942,CAXIAS DO SUL,RS,Convencional,Operante,-29.1961111,-51.18638888,750.16,1912-04-11T21:25:56.000-02:34,
B818,CAXIAS DO SUL - AEROPORTO,RS,Automatica,Operante,-29.1961111,-51.18638888,756.0,2025-08-13T21:00:00.000-03:00,
B817,CAXIAS DO SUL - CRIUVA,RS,Automatica,Operante,-28.87416666,-50.97555554,857.0,2025-07-31T21:00:00.000-03:00,
B812,CHARQUEADAS,RS,Automatica,Operante,-29.96555555,-51.62555554,23.0,2025-04-30T21:00:00.000-03:00,
A853,CRUZ ALTA,RS,Automatica,Operante,-28.60333333,-53.6736111,426.69,2007-05-30T21:00:00.000-03:00,
B833,CRUZ ALTA ( CENTRO),RS,Automatica,Operante,-28.62583332,-53.61361111,475.0,2025-10-12T21:00:00.000-03:00,
B852,DILERMANDO DE AGUIAR,RS,Automatica,Operante,-29.72555554,-54.18805555,143.0,2026-02-03T21:00:00.000-03:00,
A881,DOM PEDRITO,RS,Automatica,Pane,-31.0025,-54.61805554,150.0,2010-04-22T21:00:00.000-03:00,
A893,ENCRUZILHADA DO SUL,RS,Automatica,Operante,-30.54305555,-52.52472221,427.75,2018-03-14T21:00:00.000-03:00,
A828,ERECHIM,RS,Automatica,Operante,-27.65777777,-52.30583333,777.08,2006-11-24T21:00:00.000-03:00,
B845,ESPERANCA DO SUL,RS,Automatica,Pane,-27.37416666,-53.96916666,409.0,2025-12-11T21:00:00.000-03:00,
B854,FAXINAL DO SOTURNO,RS,Automatica,Operante,-29.58749999,-53.42749999,70.0,2026-03-10T21:00:00.000-03:00,
A854,FREDERICO WESTPHALEN,RS,Automatica,Operante,-27.39555555,-53.42944443,489.42,2007-12-13T21:00:00.000-03:00,
B834,GARRUCHOS,RS,Automatica,Operante,-28.19694444,-55.62972221,0.0,2025-10-12T21:00:00.000-03:00,
B826,HERVAL,RS,Automatica,Pane,-32.01277777,-53.40305555,331.0,2025-09-16T21:00:00.000-03:00,
A883,IBIRUBA,RS,Automatica,Operante,-28.65333333,-53.11194444,455.27,2012-12-12T21:00:00.000-03:00,
B849,ITACURUBI,RS,Automatica,Operante,-28.69916666,-55.38055554,148.0,2026-01-20T21:00:00.000-03:00,
B850,ITAQUI,RS,Automatica,Operante,-29.15555555,-56.55555555,71.0,2026-01-27T21:00:00.000-03:00,
A836,JAGUARAO,RS,Automatica,Operante,-32.53472221,-53.37583332,31.48,2007-01-08T21:00:00.000-03:00,
B835,JOIA,RS,Automatica,Operante,-28.65027777,-54.11277777,0.0,2025-10-12T21:00:00.000-03:00,
A844,LAGOA VERMELHA,RS,Automatica,Operante,-28.22249999,-51.51277777,833.83,2007-03-01T21:00:00.000-03:00,
B853,LAVRAS DO SUL,RS,Automatica,Operante,-30.7886111,-53.89416666,390.0,2026-04-29T21:00:00.000-03:00,
B851,MACAMBARA,RS,Automatica,Operante,-29.15527777,-56.1786111,95.0,2026-04-28T21:00:00.000-03:00,
B813,MINAS DO LEAO,RS,Automatica,Operante,-30.12444443,-52.05083333,54.0,2025-07-31T21:00:00.000-03:00,
B814,MONTENEGRO,RS,Automatica,Operante,-29.75861111,-51.4361111,15.0,2025-07-31T21:00:00.000-03:00,
B862,MOSTARDAS - BACUPARI,RS,Automatica,Operante,-30.50611111,-50.41999999,20.0,2026-03-08T21:00:00.000-03:00,
B859,MUCUM,RS,Automatica,Operante,-29.15361111,-51.86527777,197.0,2026-02-23T21:00:00.000-03:00,
B846,NONOAI,RS,Automatica,Operante,-27.35861111,-52.77805554,546.0,2025-12-16T21:00:00.000-03:00,
B836,PALMARES DO SUL,RS,Automatica,Operante,-30.24916666,-50.50916666,4.0,2025-10-12T21:00:00.000-03:00,
A856,PALMEIRA DAS MISSOES,RS,Automatica,Operante,-27.92027777,-53.31805554,614.11,2008-02-25T21:00:00.000-03:00,
B810,PARQUE ELDORADO,RS,Automatica,Pane,-30.09666666,-51.67388888,50.0,2025-02-17T21:00:00.000-03:00,
83914,PASSO FUNDO,RS,Convencional,Operante,-28.2286111,-52.41194444,684.05,1912-07-31T21:25:56.000-02:34,
A839,PASSO FUNDO,RS,Automatica,Operante,-28.22666666,-52.40361111,680.67,2006-11-26T21:00:00.000-03:00,
83985,PELOTAS,RS,Convencional,Operante,-31.78333333,-52.41666666,13.0,1925-12-31T21:00:00.000-03:00,
B823,PINHEIRO MACHADO,RS,Automatica,Pane,-31.57472221,-53.38833333,419.0,2025-09-16T21:00:00.000-03:00,
83967,PORTO ALEGRE,RS,Convencional,Operante,-30.05361111,-51.17472221,41.18,1909-12-08T21:25:56.000-02:34,
B825,PORTO ALEGRE - BELEM NOVO,RS,Automatica,Operante,-30.1861111,-51.17833332,3.3,2025-04-30T21:00:00.000-03:00,
A801,PORTO ALEGRE - JARDIM BOTANICO,RS,Automatica,Operante,-30.05361111,-51.17472221,41.18,2000-09-21T21:00:00.000-03:00,
B837,PORTO XAVIER,RS,Automatica,Operante,-27.90277777,-55.16722221,0.0,2025-10-12T21:00:00.000-03:00,
A831,QUARAI,RS,Automatica,Operante,-30.3686111,-56.43722221,103.0,2007-10-16T21:00:00.000-03:00,
B860,RELVADO,RS,Automatica,Operante,-29.10444444,-52.05277777,301.0,2026-02-23T21:00:00.000-03:00,
A802,RIO GRANDE,RS,Automatica,Pane,-32.07888888,-52.16777777,4.92,2001-11-15T22:00:00.000-02:00,
A813,RIO PARDO,RS,Automatica,Operante,-29.87222221,-52.38194443,106.99,2006-09-29T21:00:00.000-03:00,
B819,ROLANTE,RS,Automatica,Operante,-29.65583333,-50.61805554,69.0,2025-08-17T21:00:00.000-03:00,
B855,Rosario do Sul,RS,Automatica,Operante,-30.25972222,-54.90222222,115.0,2026-03-30T21:00:00.000-03:00,
B838,SALTO DO JACUI,RS,Automatica,Operante,-29.09638888,-53.2125,322.0,2025-10-12T21:00:00.000-03:00,
83936,SANTA MARIA,RS,Convencional,Operante,-29.72472221,-53.72055554,103.1,1911-12-31T21:25:56.000-02:34,
A803,SANTA MARIA,RS,Automatica,Operante,-29.72499999,-53.72055554,105.0,2001-11-25T22:00:00.000-02:00,
B816,SANTA MARIA DO HERVAL,RS,Automatica,Operante,-29.47916666,-51.01333333,650.0,2025-08-20T21:00:00.000-03:00,
A810,SANTA ROSA,RS,Automatica,Operante,-27.84805555,-54.45222222,329.0,2006-11-14T21:00:00.000-03:00,
B830,SANTA VITORIA DO PALMAR (CENTRO),RS,Automatica,Operante,-33.53166666,-53.35027777,29.0,2025-09-17T21:00:00.000-03:00,
B829,SANTA VITORIA DO PALMAR (RESERVA DO TAIM),RS,Automatica,Pane,-32.83583333,-52.6436111,2.0,2025-09-16T21:00:00.000-03:00,
A899,SANTA VITORIA DO PALMAR - BARRA DO CHUI,RS,Automatica,Operante,-33.74222221,-53.37222221,7.41,2008-03-07T21:00:00.000-03:00,
B821,SANTANA DA BOA VISTA,RS,Automatica,Pane,-30.85861111,-53.15555555,138.0,2025-09-16T21:00:00.000-03:00,
A804,SANTANA DO LIVRAMENTO,RS,Automatica,Operante,-30.75055555,-55.40138888,196.0,2001-11-21T22:00:00.000-02:00,
A833,SANTIAGO,RS,Automatica,Operante,-29.19166666,-54.88555555,390.03,2009-02-03T21:00:00.000-03:00,
B844,SANTO ANGELO,RS,Automatica,Operante,-28.27805554,-54.27388888,270.0,2026-02-24T21:00:00.000-03:00,
B839,SANTO ANTONIO DA PATRULHA,RS,Automatica,Operante,-29.81611111,-50.53333333,47.0,2025-10-12T21:00:00.000-03:00,
A805,SANTO AUGUSTO,RS,Automatica,Operante,-27.85444444,-53.7911111,489.67,2001-12-04T22:00:00.000-02:00,
A830,SAO BORJA,RS,Automatica,Operante,-28.65,-56.01638888,79.0,2007-07-20T21:00:00.000-03:00,
B820,SAO FRANCISCO DE PAULA,RS,Automatica,Operante,-29.44222221,-50.56027777,886.0,2025-08-17T21:00:00.000-03:00,
A832,SAO GABRIEL,RS,Automatica,Operante,-30.34138888,-54.31083333,114.89,2007-07-10T21:00:00.000-03:00,
B861,SAO JOSE DO OURO,RS,Automatica,Operante,-27.77249999,-51.58666666,803.0,2026-02-25T21:00:00.000-03:00,
A829,SAO JOSE DOS AUSENTES,RS,Automatica,Operante,-28.7486111,-50.05777777,1228.59,2006-10-25T21:00:00.000-03:00,
B831,SAO LOURENCO DO SUL,RS,Automatica,Operante,-31.34055555,-52.01083333,3.0,2025-09-16T21:00:00.000-03:00,
83907,SAO LUIZ GONZAGA,RS,Convencional,Operante,-28.41722221,-54.9625,245.49,1912-03-31T21:25:56.000-02:34,
A852,SAO LUIZ GONZAGA,RS,Automatica,Operante,-28.41722221,-54.9625,245.5,2007-07-24T21:00:00.000-03:00,
A889,SAO VICENTE DO SUL,RS,Automatica,Pane,-29.70222222,-54.69444444,134.0,2016-04-05T21:00:00.000-03:00,
B809,SAPUCAIA DO SUL,RS,Automatica,Operante,-29.81388888,-51.15666666,23.0,2025-04-30T21:00:00.000-03:00,
A894,SERAFINA CORREA,RS,Automatica,Pane,-28.70472222,-51.87083332,485.29,2016-03-31T21:00:00.000-03:00,
B811,SERTAO SANTANA,RS,Automatica,Operante,-30.49416666,-51.66333333,116.0,2025-08-13T21:00:00.000-03:00,
B840,SOBRADINHO,RS,Automatica,Operante,-29.39833333,-53.01361111,379.0,2025-10-30T21:00:00.000-03:00,
A837,SOLEDADE,RS,Automatica,Operante,-28.85916666,-52.54249999,660.44,2008-02-29T21:00:00.000-03:00,
B815,TAQUARI,RS,Automatica,Operante,-29.79166666,-51.82749999,53.0,2025-08-13T21:00:00.000-03:00,
A878,TAVARES - FAROL DE MOSTARDAS,RS,Automatica,Pane,-31.24833333,-50.90638888,3.82,2008-03-10T21:00:00.000-03:00,
A882,TEUTONIA,RS,Automatica,Operante,-29.44916666,-51.82333332,81.0,2012-10-03T21:00:00.000-03:00,
B841,TORRES-AEROPORTO,RS,Automatica,Operante,-29.41361111,-49.80361111,0.0,2025-10-12T21:00:00.000-03:00,
A834,TRAMANDAI,RS,Automatica,Operante,-30.01027777,-50.13583333,4.56,2008-03-08T21:00:00.000-03:00,
A886,TUPANCIRETA,RS,Automatica,Operante,-29.08944444,-53.82666666,462.0,2016-08-10T21:00:00.000-03:00,
A809,URUGUAIANA,RS,Automatica,Operante,-29.83999999,-57.08194443,74.29,2006-09-27T21:00:00.000-03:00,
A880,VACARIA,RS,Automatica,Operante,-28.51361111,-50.88277777,969.89,2008-04-25T21:00:00.000-03:00,
B824,VIAMAO,RS,Automatica,Operante,-30.11527777,-50.92916666,65.0,2026-03-16T21:00:00.000-03:00,
A867,ARARANGUA,SC,Automatica,Operante,-28.93138888,-49.49805555,2.0,2008-09-27T21:00:00.000-03:00,
A845,BOM JARDIM DA SERRA - MORRO DA IGREJA,SC,Automatica,Pane,-28.12694443,-49.47972221,1790.38,2007-06-16T21:00:00.000-03:00,
A859,CACADOR,SC,Automatica,Pane,-26.81916666,-50.98555555,944.26,2008-03-18T21:00:00.000-03:00,
A898,CAMPOS NOVOS,SC,Automatica,Operante,-27.3886111,-51.21583333,963.0,2019-02-14T21:00:00.000-03:00,
A895,CHAPECO,SC,Automatica,Operante,-27.08527777,-52.63583333,679.0,2019-02-18T21:00:00.000-03:00,
A860,CURITIBANOS,SC,Automatica,Operante,-27.2886111,-50.60416666,978.1,2008-02-27T21:00:00.000-03:00,
A848,DIONISIO CERQUEIRA,SC,Automatica,Operante,-26.286562,-53.633114,807.54,2008-05-30T21:00:00.000-03:00,
A806,FLORIANOPOLIS,SC,Automatica,Pane,-27.6025,-48.61999999,4.87,2003-01-21T22:00:00.000-02:00,
A817,INDAIAL,SC,Automatica,Pane,-26.91361111,-49.26805554,72.24,2006-07-01T21:00:00.000-03:00,
A868,ITAJAI,SC,Automatica,Operante,-26.95083333,-48.76194444,9.76,2010-06-23T21:00:00.000-03:00,
A851,ITAPOA,SC,Automatica,Pane,-26.08138888,-48.64166666,6.18,2007-06-05T21:00:00.000-03:00,
